Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
20 Microns Ltd,20MICRONS:NSI,98.75,INR,3.00,"3,393.05",INR
8K Miles Software Services Ltd,8KMILES:NSI,"8,683.60",INR,33.85,"34,340.00",INR
Aarti Drugs Ltd,AARTIDRUGS:NSI,832.10,INR,3.02,"28,392.10",INR
Aban Offshore Ltd,ABAN:NSI,500.50,INR,2.12,"24,147.50",INR
Accelya Kale Solutions Ltd,ACCELYA:NSI,"1,917.30",INR,4.07,"49,054.50",INR
Aditya Birla Money Ltd,BIRLAMONEY:NSI,-6.20,INR,-0.0585,"10,583.40",INR
Adlabs Entertainment Ltd,ADLABS:NSI,253.40,INR,2.13,"12,154.15",INR
Ador Welding Ltd,ADORWELD:NSI,"4,557.00",INR,34.98,"17,583.00",INR
Advani Hotels and Resorts India Ltd,ADVANIHOTR:NSI,216.30,INR,3.73,"6,010.05",INR
AGC Networks Ltd,AGCNET:NSI,78.75,INR,1.07,"7,430.85",INR
Agro Tech Foods Ltd,ATFL:NSI,934.20,INR,3.42,"28,263.60",INR
Ahluwalia Contracts (India) Ltd,AHLUCONT:NSI,"-2,108.35",INR,-4.60,"43,709.15",INR
Aksh Optifibre Ltd,AKSHOPTFBR:NSI,"1,230.80",INR,15.01,"9,430.10",INR
Alembic Ltd,ALEMBICLTD:NSI,297.50,INR,1.30,"23,234.75",INR
Allied Digital Services Ltd,ADSL:NSI,336.00,INR,15.35,"2,525.60",INR
Alok Industries Ltd,ALOKTEXT:NSI,613.60,INR,7.14,"9,204.00",INR
Alpa Laboratories Ltd,ALPA:NSI,35.25,INR,2.57,"1,405.30",INR
Amtek Auto Ltd,AMTEKAUTO:NSI,193.55,INR,1.52,"12,967.85",INR
Anant Raj Ltd,ANANTRAJ:NSI,394.20,INR,1.09,"36,529.20",INR
Andhra Sugars Ltd,ANDHRSUGAR:NSI,"7,566.00",INR,31.10,"31,896.00",INR
Ansal Housing and Construction Ltd,ANSALHSG:NSI,39.60,INR,1.44,"2,791.80",INR
Ansal Properties and Infrastructure Ltd,ANSALAPI:NSI,157.95,INR,2.12,"7,616.70",INR
APL Apollo Tubes Ltd,APLAPOLLO:NSI,"12,664.35",INR,14.15,"102,160.15",INR
Aptech Ltd,APTECHT:NSI,"4,191.90",INR,16.66,"29,347.75",INR
Archies Ltd,ARCHIES:NSI,146.25,INR,6.57,"2,373.75",INR
Aries Agro Ltd,ARIES:NSI,577.10,INR,13.37,"4,892.30",INR
ARSS Infrastructure Projects Ltd,ARSSINFRA:NSI,61.20,INR,2.42,"2,585.70",INR
Ashiana Housing Ltd,ASHIANA:NSI,"2,006.40",INR,5.30,"39,888.60",INR
Assam Company India Ltd,ASSAMCO:NSI,138.00,INR,4.94,"2,932.50",INR
Astrazeneca Pharma India Ltd,ASTRAZEN:NSI,"2,097.20",INR,4.11,"53,186.00",INR
Atlas Cycles Haryana Ltd,ATLASCYCLE:NSI,197.05,INR,7.20,"2,934.40",INR
Autoline Industries Ltd,AUTOIND:NSI,151.20,INR,5.40,"2,952.00",INR
Automotive Axles Ltd,AUTOAXLES:NSI,"2,230.40",INR,7.54,"31,807.00",INR
B L Kashyap and Sons Ltd,BLKASHYAP:NSI,288.00,INR,1.40,"20,880.00",INR
Bajaj Hindusthan Sugar Ltd,BAJAJHIND:NSI,"3,535.00",INR,10.29,"37,875.00",INR
Balaji Telefilms Ltd,BALAJITELE:NSI,922.50,INR,2.69,"35,246.25",INR
Ballarpur Industries Ltd,BALLARPUR:NSI,-288.10,INR,-0.7905,"36,156.55",INR
Balmer Lawrie and Company Ltd,BALMLAWRIE:NSI,"1,676.40",INR,3.04,"56,908.70",INR
Banco Products India Ltd,BANCOINDIA:NSI,"1,168.65",INR,3.52,"34,336.05",INR
Bannari Amman Sugars Ltd,BANARISUG:NSI,"1,352.40",INR,2.10,"65,654.40",INR
Bf Utilities Limitd,BFUTILITIE:NSI,"1,818.60",INR,5.50,"34,893.60",INR
BGR Energy Systems Ltd,BGRENERGY:NSI,901.60,INR,4.28,"21,952.35",INR
Bhansali Engg Polymers Ltd,BEPL:NSI,"11,784.50",INR,39.03,"41,976.50",INR
Bharat Bijlee Ltd,BBL:NSI,352.95,INR,2.47,"14,669.85",INR
Bhartiya International Ltd,BIL:NSI,720.90,INR,4.54,"16,587.45",INR
Binani Industries Ltd,BINANIIND:NSI,175.00,INR,3.45,"5,250.00",INR
Birla Cable Ltd,BIRLACABLE:NSI,338.35,INR,12.29,"3,092.05",INR
Bliss GVS Pharma Ltd,BLISSGVS:NSI,-655.50,INR,-1.79,"35,972.00",INR
Bombay Dyeing and Mfg Co Ltd,BOMDYEING:NSI,"27,531.00",INR,33.96,"108,606.00",INR
Bombay Rayon Fashions Ltd,BRFL:NSI,"-3,286.80",INR,-3.94,"80,211.20",INR
BPL Ltd,BPL:NSI,545.00,INR,7.56,"7,755.35",INR
Brigade Enterprises Ltd,BRIGADE:NSI,"2,853.90",INR,3.79,"78,233.10",INR
BSL Ltd,BSL:NSI,39.10,INR,2.77,"1,449.00",INR
Castex Technologies Ltd,CASTEXTECH:NSI,-126.30,INR,-2.78,"4,420.50",INR
Century Enka Ltd,CENTENKA:NSI,"1,683.15",INR,11.14,"16,792.30",INR
Cinevista Ltd,CINEVISTA:NSI,672.00,INR,33.12,"2,700.80",INR
Clariant Chemicals India Ltd,CLNINDIA:NSI,"1,838.55",INR,6.28,"31,127.85",INR
Consolidated Finvest & Holdings Ltd,CONSOFINVT:NSI,-180.00,INR,-3.80,"4,561.20",INR
Cosmo Films Ltd,COSMOFILMS:NSI,290.25,INR,1.77,"16,711.95",INR
Creative Eye Ltd,CREATIVEYE:NSI,0.00,INR,0.00,191.25,INR
Cybertech Systems and Software Ltd,CYBERTECH:NSI,915.00,INR,26.57,"4,358.45",INR
D S Kulkarni Developers Ltd,DSKULKARNI:NSI,105.45,INR,7.20,"1,570.35",INR
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG:NSI,"4,428.00",INR,16.44,"31,356.00",INR
DCW Ltd,DCW:NSI,"2,885.10",INR,16.93,"19,926.75",INR
De Nora India Ltd,DENORA:NSI,23.40,INR,0.7772,"3,034.20",INR
Deepak Fertilisers and Petrochemicals Corp Ltd,DEEPAKFERT:NSI,"12,936.00",INR,17.86,"85,367.80",INR
DEN Networks Ltd,DEN:NSI,-763.00,INR,-1.95,"38,368.00",INR
Dhampur Sugar Mills Ltd,DHAMPURSUG:NSI,"6,512.00",INR,17.02,"44,770.00",INR
Dhanlaxmi Bank Ltd,DHANBANK:NSI,451.20,INR,2.15,"21,403.80",INR
DIC India Ltd,DICIND:NSI,649.00,INR,6.65,"10,414.00",INR
DIGJAM Ltd,DIGJAMLTD:NSI,87.75,INR,4.17,"2,193.75",INR
D-Link India Ltd,DLINKINDIA:NSI,"1,611.60",INR,19.36,"9,934.25",INR
Donear Industries Ltd,DONEAR:NSI,278.40,INR,2.13,"13,340.00",INR
Dredging Corporation of India Ltd,DREDGECORP:NSI,"1,072.60",INR,3.14,"35,231.50",INR
Dwarikesh Sugar Industries Ltd,DWARKESH:NSI,"6,829.70",INR,26.10,"32,996.25",INR
Dynamatic Technologies Ltd,DYNAMATECH:NSI,-18.90,INR,-0.0627,"30,116.80",INR
ECE Industries Ltd,ECEIND:NSI,26.40,INR,0.8012,"3,321.60",INR
Educomp Solutions Ltd,EDUCOMP:NSI,-273.00,INR,-16.81,"1,351.35",INR
Elecon Engineering Company Ltd,ELECON:NSI,"2,562.50",INR,17.80,"16,962.50",INR
Electrosteel Castings Ltd,ELECTCAST:NSI,834.75,INR,4.41,"19,755.75",INR
ELGI Rubber Co Ltd,ELGIRUBCO:NSI,-61.05,INR,-1.30,"4,639.80",INR
Energy Development Company Ltd,ENERGYDEV:NSI,159.00,INR,7.19,"2,369.10",INR
Eros International Media Ltd,EROSMEDIA:NSI,"4,798.50",INR,10.84,"49,045.50",INR
ESAB India Ltd,ESABINDIA:NSI,"6,494.00",INR,25.81,"31,654.00",INR
Ess Dee Aluminium Ltd,ESSDEE:NSI,21.30,INR,0.7557,"2,840.00",INR
Eveready Industries India Ltd,EVEREADY:NSI,"5,605.20",INR,11.69,"53,565.30",INR
Everest Industries Ltd,EVERESTIND:NSI,"2,446.30",INR,20.93,"14,135.50",INR
Everest Kanto Cylinder Ltd,EKC:NSI,"1,925.00",INR,23.37,"10,162.50",INR
Excel Industries Ltd,EXCELINDUS:NSI,"1,972.60",INR,16.83,"13,696.20",INR
Flexituff International Ltd,FLEXITUFF:NSI,-77.00,INR,-1.85,"4,086.50",INR
Foseco India Ltd,FOSECOIND:NSI,318.50,INR,1.73,"18,728.50",INR
Future Enterprises Ltd,FEL:NSI,"1,640.50",INR,3.33,"50,952.00",INR
Gabriel India Ltd,GABRIEL:NSI,464.00,INR,0.7355,"63,552.00",INR
Gammon India Ltd,GAMMONIND:NSI,-452.65,INR,-8.46,"4,896.85",INR
Gammon Infrastructure Projects Ltd,GAMMNINFRA:NSI,-209.80,INR,-3.39,"5,979.30",INR
Garware Wall Ropes Ltd,GARWALLROP:NSI,"2,349.55",INR,5.45,"45,459.75",INR
Gateway Distriparks Ltd,GDL:NSI,"3,109.70",INR,5.63,"58,322.00",INR
Gati Ltd,GATI:NSI,"2,265.40",INR,8.80,"28,004.20",INR
Gayatri Projects Ltd,GAYAPROJ:NSI,"3,199.50",INR,4.54,"73,667.50",INR
Geojit Financial Services Ltd,GEOJITFSL:NSI,"10,428.00",INR,16.03,"75,477.60",INR
GHCL Ltd,GHCL:NSI,"5,594.40",INR,12.30,"51,062.40",INR
Gitanjali Gems Ltd,GITANJALI:NSI,"1,412.40",INR,8.21,"18,625.20",INR
Global Offshore Services Ltd,GLOBOFFS:NSI,8.25,INR,0.4425,"1,872.75",INR
Gokaldas Exports Ltd,GOKEX:NSI,"1,657.50",INR,19.78,"10,038.60",INR
Graphite India Ltd,GRAPHITE:NSI,"40,368.00",INR,24.97,"202,057.50",INR
GTN Industries Ltd,GTNIND:NSI,105.30,INR,16.12,758.55,INR
Gujarat Ambuja Exports Ltd,GAEL:NSI,"5,342.25",INR,14.78,"41,488.50",INR
Gujarat Industries Power Company Ltd,GIPCL:NSI,"4,751.70",INR,10.88,"48,443.75",INR
Gujarat NRE Coke Ltd,GUJNRECOKE:NSI,0.00,INR,0.00,"5,539.70",INR
GVK Power & Infrastructure Ltd,GVKPIL:NSI,703.60,INR,1.71,"41,864.20",INR
Harrisons Malayalam Ltd,HARRMALAYA:NSI,227.55,INR,7.56,"3,236.95",INR
HCL Infosystems Ltd,HCL-INSYS:NSI,"1,341.90",INR,5.69,"24,924.55",INR
HEG Ltd,HEG:NSI,"33,610.85",INR,40.47,"116,665.65",INR
Heritage Foods Ltd,HERITGFOOD:NSI,"61,491.60",INR,8.14,"817,086.60",INR
Hikal Ltd,HIKAL:NSI,"2,708.40",INR,6.98,"41,504.40",INR
Himachal Futuristic Communications Ltd,HFCL:NSI,"4,279.55",INR,6.43,"70,819.65",INR
Hinduja Ventures Ltd,HINDUJAVEN:NSI,959.10,INR,4.36,"22,951.70",INR
Hindustan Media Ventures Ltd,HMVL:NSI,-790.55,INR,-1.93,"40,106.15",INR
Hindustan Oil Exploration Company Ltd,HINDOILEXP:NSI,"1,862.40",INR,7.32,"27,295.80",INR
Honda Siel Power Products Ltd,HONDAPOWER:NSI,50.60,INR,0.1686,"30,067.90",INR
HSIL Ltd,HSIL:NSI,"10,617.95",INR,16.96,"73,230.85",INR
HT Media Ltd,HTMEDIA:NSI,"1,735.30",INR,3.58,"50,271.90",INR
Hubtown Ltd,HUBTOWN:NSI,510.30,INR,2.93,"17,949.60",INR
I G Petrochemicals Ltd,IGPL:NSI,"6,920.70",INR,16.05,"50,028.45",INR
IFB Industries Ltd,IFBIND:NSI,"2,430.00",INR,3.74,"67,396.50",INR
Igarashi Motors India Ltd,IGARASHI:NSI,394.40,INR,0.6444,"61,594.40",INR
IL&FS Engineering and Construction Co Ltd,FSENGG:NSI,160.60,INR,1.69,"9,636.00",INR
IND Swift Laboratories Ltd,INDSWFTLAB:NSI,80.80,INR,2.41,"3,434.00",INR
India Glycols Ltd,INDIAGLYCO:NSI,"5,585.55",INR,33.15,"22,435.35",INR
India Nippon Electricals Ltd,INDNIPPON:NSI,"3,101.25",INR,11.89,"29,177.50",INR
Indiabulls Ventures Ltd,IBVENTURES:NSI,"32,948.25",INR,13.09,"284,566.50",INR
Indian Card Clothing Company Ltd,INDIANCARD:NSI,-1.50,INR,-0.086,"1,742.50",INR
