Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
20 Microns Ltd,20MICRONS:NSI,865.05,INR,26.26,n/a,n/a
8K Miles Software Services Ltd,8KMILES:NSI,"24,150.20",INR,94.13,n/a,n/a
Aarti Drugs Ltd,AARTIDRUGS:NSI,"6,476.60",INR,23.5,n/a,n/a
Aban Offshore Ltd,ABAN:NSI,"4,108.00",INR,17.37,n/a,n/a
Accelya Kale Solutions Ltd,ACCELYA:NSI,-151.8,INR,-0.322,n/a,n/a
Aditya Birla Money Ltd,BIRLAMONEY:NSI,-551.8,INR,-5.21,n/a,n/a
Adlabs Entertainment Ltd,ADLABS:NSI,-724,INR,-6.08,n/a,n/a
Ador Welding Ltd,ADORWELD:NSI,"2,037.00",INR,15.64,n/a,n/a
Advani Hotels and Resorts India Ltd,ADVANIHOTR:NSI,"1,946.70",INR,33.6,n/a,n/a
AGC Networks Ltd,AGCNET:NSI,592.2,INR,8.05,n/a,n/a
Agro Tech Foods Ltd,ATFL:NSI,"8,091.90",INR,29.61,n/a,n/a
Ahluwalia Contracts (India) Ltd,AHLUCONT:NSI,"6,533.65",INR,14.26,n/a,n/a
Aksh Optifibre Ltd,AKSHOPTFBR:NSI,"5,973.00",INR,72.85,n/a,n/a
Alembic Ltd,ALEMBICLTD:NSI,"15,648.50",INR,68.22,n/a,n/a
Allied Digital Services Ltd,ADSL:NSI,358.4,INR,16.37,n/a,n/a
Alok Industries Ltd,ALOKTEXT:NSI,"2,454.40",INR,28.57,n/a,n/a
Alpa Laboratories Ltd,ALPA:NSI,528.75,INR,38.59,n/a,n/a
Amtek Auto Ltd,AMTEKAUTO:NSI,"1,244.25",INR,9.74,n/a,n/a
Anant Raj Ltd,ANANTRAJ:NSI,"7,391.25",INR,20.45,n/a,n/a
Andhra Sugars Ltd,ANDHRSUGAR:NSI,"15,024.00",INR,61.75,n/a,n/a
Ansal Housing and Construction Ltd,ANSALHSG:NSI,891,INR,32.37,n/a,n/a
Ansal Properties and Infrastructure Ltd,ANSALAPI:NSI,"1,912.95",INR,25.65,n/a,n/a
APL Apollo Tubes Ltd,APLAPOLLO:NSI,"30,035.10",INR,33.56,n/a,n/a
Aptech Ltd,APTECHT:NSI,"3,475.45",INR,13.82,n/a,n/a
Archies Ltd,ARCHIES:NSI,993.75,INR,44.61,n/a,n/a
Aries Agro Ltd,ARIES:NSI,"2,283.75",INR,52.92,n/a,n/a
ARSS Infrastructure Projects Ltd,ARSSINFRA:NSI,28.05,INR,1.11,n/a,n/a
Ashiana Housing Ltd,ASHIANA:NSI,"5,335.20",INR,14.08,n/a,n/a
Assam Company India Ltd,ASSAMCO:NSI,655.5,INR,23.46,n/a,n/a
Astrazeneca Pharma India Ltd,ASTRAZEN:NSI,"11,709.60",INR,22.92,n/a,n/a
Atlas Cycles Haryana Ltd,ATLASCYCLE:NSI,27.65,INR,1.01,n/a,n/a
Autoline Industries Ltd,AUTOIND:NSI,493.2,INR,17.61,n/a,n/a
Automotive Axles Ltd,AUTOAXLES:NSI,"26,302.40",INR,88.93,n/a,n/a
B L Kashyap and Sons Ltd,BLKASHYAP:NSI,"5,904.00",INR,28.67,n/a,n/a
Bajaj Hindusthan Sugar Ltd,BAJAJHIND:NSI,"1,010.00",INR,2.94,n/a,n/a
Balaji Telefilms Ltd,BALAJITELE:NSI,11.25,INR,0.0328,n/a,n/a
Ballarpur Industries Ltd,BALLARPUR:NSI,"6,338.20",INR,17.39,n/a,n/a
Balmer Lawrie and Company Ltd,BALMLAWRIE:NSI,"7,429.50",INR,13.45,n/a,n/a
Banco Products India Ltd,BANCOINDIA:NSI,"5,016.45",INR,15.12,n/a,n/a
Bannari Amman Sugars Ltd,BANARISUG:NSI,"-12,999.00",INR,-20.22,n/a,n/a
Bf Utilities Limitd,BFUTILITIE:NSI,"7,375.20",INR,22.3,n/a,n/a
BGR Energy Systems Ltd,BGRENERGY:NSI,402.5,INR,1.91,n/a,n/a
Bhansali Engg Polymers Ltd,BEPL:NSI,"32,689.50",INR,108.27,n/a,n/a
Bharat Bijlee Ltd,BBL:NSI,"3,376.75",INR,23.59,n/a,n/a
Bhartiya International Ltd,BIL:NSI,"-2,783.70",INR,-17.54,n/a,n/a
Binani Industries Ltd,BINANIIND:NSI,"2,422.00",INR,47.72,n/a,n/a
Birla Cable Ltd,BIRLACABLE:NSI,857.6,INR,31.14,n/a,n/a
Bliss GVS Pharma Ltd,BLISSGVS:NSI,"11,120.50",INR,30.36,n/a,n/a
Bombay Dyeing and Mfg Co Ltd,BOMDYEING:NSI,"25,300.00",INR,31.21,n/a,n/a
Bombay Rayon Fashions Ltd,BRFL:NSI,"-33,830.80",INR,-40.52,n/a,n/a
BPL Ltd,BPL:NSI,"3,874.95",INR,53.74,n/a,n/a
Brigade Enterprises Ltd,BRIGADE:NSI,"9,195.90",INR,12.2,n/a,n/a
BSL Ltd,BSL:NSI,744.05,INR,52.77,n/a,n/a
Castex Technologies Ltd,CASTEXTECH:NSI,-42.1,INR,-0.9259,n/a,n/a
Century Enka Ltd,CENTENKA:NSI,889.35,INR,5.89,n/a,n/a
Cinevista Ltd,CINEVISTA:NSI,-473.6,INR,-23.34,n/a,n/a
Clariant Chemicals India Ltd,CLNINDIA:NSI,"3,330.30",INR,11.37,n/a,n/a
Consolidated Finvest & Holdings Ltd,CONSOFINVT:NSI,860.4,INR,18.15,n/a,n/a
Cosmo Films Ltd,COSMOFILMS:NSI,"-1,208.30",INR,-7.36,n/a,n/a
Creative Eye Ltd,CREATIVEYE:NSI,13.5,INR,7.06,n/a,n/a
Cybertech Systems and Software Ltd,CYBERTECH:NSI,"1,503.65",INR,43.67,n/a,n/a
D S Kulkarni Developers Ltd,DSKULKARNI:NSI,-327.75,INR,-22.37,n/a,n/a
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG:NSI,"-8,460.00",INR,-31.42,n/a,n/a
DCW Ltd,DCW:NSI,"2,371.65",INR,13.92,n/a,n/a
De Nora India Ltd,DENORA:NSI,"1,063.20",INR,35.31,n/a,n/a
Deepak Fertilisers and Petrochemicals Corp Ltd,DEEPAKFERT:NSI,"6,301.40",INR,8.7,n/a,n/a
DEN Networks Ltd,DEN:NSI,"9,330.40",INR,23.84,n/a,n/a
Dhampur Sugar Mills Ltd,DHAMPURSUG:NSI,"-11,262.80",INR,-29.44,n/a,n/a
Dhanlaxmi Bank Ltd,DHANBANK:NSI,"-5,950.20",INR,-28.4,n/a,n/a
DIC India Ltd,DICIND:NSI,"1,394.00",INR,14.28,n/a,n/a
DIGJAM Ltd,DIGJAMLTD:NSI,575.25,INR,27.31,n/a,n/a
D-Link India Ltd,DLINKINDIA:NSI,"1,508.90",INR,18.13,n/a,n/a
Donear Industries Ltd,DONEAR:NSI,"2,726.00",INR,20.87,n/a,n/a
Dredging Corporation of India Ltd,DREDGECORP:NSI,"8,881.50",INR,26,n/a,n/a
Dwarikesh Sugar Industries Ltd,DWARKESH:NSI,"-8,505.70",INR,-32.51,n/a,n/a
Dynamatic Technologies Ltd,DYNAMATECH:NSI,"-4,095.70",INR,-13.59,n/a,n/a
ECE Industries Ltd,ECEIND:NSI,"2,181.60",INR,66.21,n/a,n/a
Educomp Solutions Ltd,EDUCOMP:NSI,696.15,INR,42.86,n/a,n/a
Elecon Engineering Company Ltd,ELECON:NSI,"8,500.00",INR,59.03,n/a,n/a
Electrosteel Castings Ltd,ELECTCAST:NSI,"8,546.25",INR,45.17,n/a,n/a
ELGI Rubber Co Ltd,ELGIRUBCO:NSI,677.1,INR,14.4,n/a,n/a
Energy Development Company Ltd,ENERGYDEV:NSI,620.1,INR,28.06,n/a,n/a
Eros International Media Ltd,EROSMEDIA:NSI,"-1,470.00",INR,-3.32,n/a,n/a
ESAB India Ltd,ESABINDIA:NSI,"1,754.40",INR,6.97,n/a,n/a
Ess Dee Aluminium Ltd,ESSDEE:NSI,"2,392.70",INR,84.89,n/a,n/a
Eveready Industries India Ltd,EVEREADY:NSI,"19,658.70",INR,40.99,n/a,n/a
Everest Industries Ltd,EVERESTIND:NSI,"7,582.00",INR,64.86,n/a,n/a
Everest Kanto Cylinder Ltd,EKC:NSI,"5,887.50",INR,71.47,n/a,n/a
Excel Industries Ltd,EXCELINDUS:NSI,"7,961.80",INR,67.91,n/a,n/a
Flexituff International Ltd,FLEXITUFF:NSI,107.25,INR,2.58,n/a,n/a
Foseco India Ltd,FOSECOIND:NSI,"6,752.90",INR,36.68,n/a,n/a
Future Enterprises Ltd,FEL:NSI,"-8,395.50",INR,-17.03,n/a,n/a
Gabriel India Ltd,GABRIEL:NSI,"-8,032.00",INR,-12.73,n/a,n/a
Gammon India Ltd,GAMMONIND:NSI,0,INR,0,n/a,n/a
Gammon Infrastructure Projects Ltd,GAMMNINFRA:NSI,"1,258.80",INR,20.34,n/a,n/a
Garware Wall Ropes Ltd,GARWALLROP:NSI,"6,999.65",INR,16.24,n/a,n/a
Gateway Distriparks Ltd,GDL:NSI,"1,173.70",INR,2.13,n/a,n/a
Gati Ltd,GATI:NSI,"5,639.40",INR,21.91,n/a,n/a
Gayatri Projects Ltd,GAYAPROJ:NSI,"12,482.00",INR,17.71,n/a,n/a
Geojit Financial Services Ltd,GEOJITFSL:NSI,"-7,312.80",INR,-11.24,n/a,n/a
GHCL Ltd,GHCL:NSI,"24,526.80",INR,53.94,n/a,n/a
Gitanjali Gems Ltd,GITANJALI:NSI,264,INR,1.53,n/a,n/a
Global Offshore Services Ltd,GLOBOFFS:NSI,11,INR,0.59,n/a,n/a
Gokaldas Exports Ltd,GOKEX:NSI,304.2,INR,3.63,n/a,n/a
Graphite India Ltd,GRAPHITE:NSI,"184,157.25",INR,113.9,n/a,n/a
GTN Industries Ltd,GTNIND:NSI,19.5,INR,2.99,n/a,n/a
Gujarat Ambuja Exports Ltd,GAEL:NSI,"21,114.00",INR,58.41,n/a,n/a
Gujarat Industries Power Company Ltd,GIPCL:NSI,"-3,555.35",INR,-8.14,n/a,n/a
Gujarat NRE Coke Ltd,GUJNRECOKE:NSI,"-1,072.20",INR,-19.35,n/a,n/a
GVK Power & Infrastructure Ltd,GVKPIL:NSI,"31,486.10",INR,76.5,n/a,n/a
Harrisons Malayalam Ltd,HARRMALAYA:NSI,455.1,INR,15.12,n/a,n/a
HCL Infosystems Ltd,HCL-INSYS:NSI,"3,205.65",INR,13.59,n/a,n/a
HEG Ltd,HEG:NSI,"171,093.60",INR,206,n/a,n/a
Heritage Foods Ltd,HERITGFOOD:NSI,"45,414.00",INR,6.01,n/a,n/a
Hikal Ltd,HIKAL:NSI,"1,939.80",INR,5,n/a,n/a
Himachal Futuristic Communications Ltd,HFCL:NSI,"15,047.45",INR,22.61,n/a,n/a
Hinduja Ventures Ltd,HINDUJAVEN:NSI,"12,378.60",INR,56.29,n/a,n/a
Hindustan Media Ventures Ltd,HMVL:NSI,725.35,INR,1.77,n/a,n/a
Hindustan Oil Exploration Company Ltd,HINDOILEXP:NSI,"12,440.25",INR,48.91,n/a,n/a
Honda Siel Power Products Ltd,HONDAPOWER:NSI,"2,679.50",INR,8.93,n/a,n/a
HSIL Ltd,HSIL:NSI,"9,209.20",INR,14.71,n/a,n/a
HT Media Ltd,HTMEDIA:NSI,"4,066.30",INR,8.38,n/a,n/a
Hubtown Ltd,HUBTOWN:NSI,"1,830.60",INR,10.5,n/a,n/a
I G Petrochemicals Ltd,IGPL:NSI,"6,661.95",INR,15.45,n/a,n/a
IFB Industries Ltd,IFBIND:NSI,"51,732.00",INR,79.63,n/a,n/a
Igarashi Motors India Ltd,IGARASHI:NSI,"-4,063.00",INR,-6.64,n/a,n/a
IL&FS Engineering and Construction Co Ltd,FSENGG:NSI,"3,708.40",INR,39.14,n/a,n/a
IND Swift Laboratories Ltd,INDSWFTLAB:NSI,"2,767.40",INR,82.53,n/a,n/a
India Glycols Ltd,INDIAGLYCO:NSI,"18,961.20",INR,112.53,n/a,n/a
India Nippon Electricals Ltd,INDNIPPON:NSI,"2,081.25",INR,7.98,n/a,n/a
Indiabulls Ventures Ltd,IBVENTURES:NSI,"-4,925.00",INR,-1.96,n/a,n/a
Indian Card Clothing Company Ltd,INDIANCARD:NSI,123.5,INR,7.08,n/a,n/a
Indian Metals and Ferro Alloys Ltd,IMFA:NSI,"2,505.00",INR,6.67,n/a,n/a
Indo Rama Synthetics (India) Ltd,INDORAMA:NSI,"5,086.90",INR,56.69,n/a,n/a
Indoco Remedies Ltd,INDOCO:NSI,"13,909.25",INR,32.56,n/a,n/a
Indraprastha Medical Corporation Ltd,INDRAMEDCO:NSI,"1,009.80",INR,9.73,n/a,n/a
INEOS Styrolution India Ltd,INEOSSTYRO:NSI,"4,020.90",INR,11.55,n/a,n/a
Infinite Computer Solutions (India) Ltd,INFINITE:NSI,"14,341.91",INR,92.25,n/a,n/a
Ingersoll-Rand (India) Ltd,INGERRAND:NSI,"1,141.00",INR,2.1,n/a,n/a
INOX Leisure Ltd,INOXLEISUR:NSI,"8,051.75",INR,15.93,n/a,n/a
Intellect Design Arena Ltd,INTELLECT:NSI,"11,871.45",INR,35.71,n/a,n/a
International Paper APPM Ltd,IPAPPM:NSI,"5,193.15",INR,20.26,n/a,n/a
Intrasoft Technologies Ltd,ISFT:NSI,"7,157.70",INR,44.36,n/a,n/a
IOL Chemicals and Pharmaceuticals Ltd,IOLCP:NSI,"3,343.75",INR,55.5,n/a,n/a
ITD Cementation India Ltd,ITDCEM:NSI,"11,764.00",INR,19.81,n/a,n/a
IVRCL Ltd,IVRCLINFRA:NSI,"2,092.80",INR,28.92,n/a,n/a
J Kumar Infraprojects Ltd,JKIL:NSI,"18,606.90",INR,53.71,n/a,n/a
Jagson Pal Pharmaceuticals Ltd,JAGSNPHARM:NSI,271.4,INR,15.06,n/a,n/a
Jai Corp Ltd,JAICORPLTD:NSI,"25,308.75",INR,58.86,n/a,n/a
Jain Studios Ltd,JAINSTUDIO:NSI,6.4,INR,2.13,n/a,n/a
Jay Shree Tea and Industries Ltd,JAYSREETEA:NSI,595.2,INR,10.07,n/a,n/a
Jaypee Infratech Ltd,JPINFRATEC:NSI,"6,033.30",INR,15,n/a,n/a
JBF Industries Ltd,JBFIND:NSI,"7,179.90",INR,26.07,n/a,n/a
Jindal Photo Ltd,JINDALPHOT:NSI,60.95,INR,3.9,n/a,n/a
Jindal Poly Films Ltd,JINDALPOLY:NSI,"-1,504.30",INR,-4.21,n/a,n/a
Jindal SAW Ltd,JINDALSAW:NSI,"29,654.80",INR,37.06,n/a,n/a
JMT Auto Ltd,JMTAUTOLTD:NSI,"1,570.80",INR,38.36,n/a,n/a
JSW Holdings Ltd,JSWHL:NSI,"-3,502.50",INR,-7.62,n/a,n/a
Jyoti Structures Ltd,JYOTISTRUC:NSI,-73.2,INR,-2.73,n/a,n/a
K S B Pumps Ltd,KSBPUMPS:NSI,"11,770.20",INR,20.51,n/a,n/a
Kakatiya Cement Sugar and Industries Ltd,KAKATCEM:NSI,289.85,INR,4.89,n/a,n/a
Kalyani Steels Ltd,KSL:NSI,"-3,744.20",INR,-9.92,n/a,n/a
Kanoria Chemicals and Industries Ltd,KANORICHEM:NSI,737.2,INR,9.11,n/a,n/a
Karuturi Global Ltd,KGL:NSI,"5,504.40",INR,137.5,n/a,n/a
KCP Ltd,KCP:NSI,"9,040.50",INR,27.61,n/a,n/a
Kesoram Industries Ltd,KESORAMIND:NSI,"3,280.40",INR,9.44,n/a,n/a
Kewal Kiran Clothing Ltd,KKCL:NSI,889.65,INR,1.93,n/a,n/a
Kirloskar Brothers Ltd,KIRLOSBROS:NSI,"21,682.50",INR,51.68,n/a,n/a
Kirloskar Industries Ltd,KIRLOSIND:NSI,"-1,375.00",INR,-4.28,n/a,n/a
Kitex Garments Ltd,KITEX:NSI,"12,424.60",INR,39.7,n/a,n/a
KNR Constructions Ltd,KNRCON:NSI,"33,224.95",INR,51.21,n/a,n/a
Kohinoor Foods Ltd,KOHINOOR:NSI,327.6,INR,6.02,n/a,n/a
Kolte Patil Developers Ltd,KOLTEPATIL:NSI,"30,369.30",INR,100.03,n/a,n/a
Kopran Ltd,KOPRAN:NSI,628.8,INR,9.63,n/a,n/a
Kothari Products Ltd,KOTHARIPRO:NSI,"1,600.50",INR,13.65,n/a,n/a
KPIT Technologies Ltd,KPIT:NSI,"43,296.00",INR,81.36,n/a,n/a
KSK Energy Ventures Ltd,KSK:NSI,"5,711.20",INR,61.11,n/a,n/a
Lakshmi Energy And Foods Ltd,LAKSHMIEFL:NSI,-499.2,INR,-10.47,n/a,n/a
Lanco Infratech Ltd,LITL:NSI,"6,274.70",INR,106.25,n/a,n/a
LG Balakrishnan & Bros Ltd,LGBBROSLTD:NSI,"11,761.75",INR,49.18,n/a,n/a
Lovable Lingerie Ltd,LOVABLE:NSI,-671.55,INR,-7.39,n/a,n/a
Lumax Industries Ltd,LUMAXIND:NSI,"13,858.95",INR,53.19,n/a,n/a
Magma Fincorp Ltd,MAGMA:NSI,"-4,250.40",INR,-4.74,n/a,n/a
Mahanagar Telephone Nigam Ltd,MTNL:NSI,"8,558.30",INR,30.96,n/a,n/a
Maharashtra Scooters Ltd,MAHSCOOTER:NSI,"-4,413.75",INR,-6.17,n/a,n/a
Maharashtra Seamless Ltd,MAHSEAMLES:NSI,"13,134.35",INR,21.03,n/a,n/a
Mahindra Lifespace Developers Ltd,MAHLIFE:NSI,"3,323.10",INR,6.31,n/a,n/a
Man Industries India Ltd,MANINDS:NSI,"5,575.30",INR,51.89,n/a,n/a
Man Infraconstruction Ltd,MANINFRA:NSI,"2,727.45",INR,8.24,n/a,n/a
Manali Petrochemicals Ltd,MANALIPETC:NSI,"1,493.70",INR,12.02,n/a,n/a
Mandhana Industries Ltd,MANDHANA:NSI,-14.8,INR,-2.56,n/a,n/a
Mangalam Cement Ltd,MANGLMCEM:NSI,"5,518.15",INR,20.58,n/a,n/a
