Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
20 Microns Ltd,20MICRONS:NSI,-27.65,INR,-0.8393,n/a,n/a
8K Miles Software Services Ltd,8KMILES:NSI,"8,306.20",INR,32.37,n/a,n/a
Aarti Drugs Ltd,AARTIDRUGS:NSI,689.00,INR,2.50,n/a,n/a
Aban Offshore Ltd,ABAN:NSI,201.50,INR,0.8521,n/a,n/a
Accelya Kale Solutions Ltd,ACCELYA:NSI,844.80,INR,1.79,n/a,n/a
Aditya Birla Money Ltd,BIRLAMONEY:NSI,12.40,INR,0.1171,n/a,n/a
Adlabs Entertainment Ltd,ADLABS:NSI,443.45,INR,3.73,n/a,n/a
Ador Welding Ltd,ADORWELD:NSI,"3,264.00",INR,25.06,n/a,n/a
Advani Hotels and Resorts India Ltd,ADVANIHOTR:NSI,643.75,INR,11.11,n/a,n/a
AGC Networks Ltd,AGCNET:NSI,-163.80,INR,-2.23,n/a,n/a
Agro Tech Foods Ltd,ATFL:NSI,585.90,INR,2.14,n/a,n/a
Ahluwalia Contracts (India) Ltd,AHLUCONT:NSI,"-3,032.15",INR,-6.62,n/a,n/a
Aksh Optifibre Ltd,AKSHOPTFBR:NSI,705.90,INR,8.61,n/a,n/a
Alembic Ltd,ALEMBICLTD:NSI,267.75,INR,1.17,n/a,n/a
Allied Digital Services Ltd,ADSL:NSI,145.60,INR,6.65,n/a,n/a
Alok Industries Ltd,ALOKTEXT:NSI,"1,073.80",INR,12.50,n/a,n/a
Alpa Laboratories Ltd,ALPA:NSI,35.25,INR,2.57,n/a,n/a
Amtek Auto Ltd,AMTEKAUTO:NSI,-248.85,INR,-1.95,n/a,n/a
Anant Raj Ltd,ANANTRAJ:NSI,"-1,642.50",INR,-4.55,n/a,n/a
Andhra Sugars Ltd,ANDHRSUGAR:NSI,"6,276.00",INR,25.80,n/a,n/a
Ansal Housing and Construction Ltd,ANSALHSG:NSI,-13.20,INR,-0.4796,n/a,n/a
Ansal Properties and Infrastructure Ltd,ANSALAPI:NSI,-157.95,INR,-2.12,n/a,n/a
APL Apollo Tubes Ltd,APLAPOLLO:NSI,"12,900.20",INR,14.41,n/a,n/a
Aptech Ltd,APTECHT:NSI,"1,891.25",INR,7.52,n/a,n/a
Archies Ltd,ARCHIES:NSI,7.50,INR,0.3367,n/a,n/a
Aries Agro Ltd,ARIES:NSI,"2,710.05",INR,62.80,n/a,n/a
ARSS Infrastructure Projects Ltd,ARSSINFRA:NSI,-124.95,INR,-4.95,n/a,n/a
Ashiana Housing Ltd,ASHIANA:NSI,820.80,INR,2.17,n/a,n/a
Assam Company India Ltd,ASSAMCO:NSI,621.00,INR,22.22,n/a,n/a
Astrazeneca Pharma India Ltd,ASTRAZEN:NSI,"3,231.20",INR,6.32,n/a,n/a
Atlas Cycles Haryana Ltd,ATLASCYCLE:NSI,202.65,INR,7.40,n/a,n/a
Autoline Industries Ltd,AUTOIND:NSI,169.20,INR,6.04,n/a,n/a
Automotive Axles Ltd,AUTOAXLES:NSI,"1,567.40",INR,5.30,n/a,n/a
B L Kashyap and Sons Ltd,BLKASHYAP:NSI,-504.00,INR,-2.45,n/a,n/a
Bajaj Hindusthan Sugar Ltd,BAJAJHIND:NSI,"1,641.25",INR,4.78,n/a,n/a
Balaji Telefilms Ltd,BALAJITELE:NSI,573.75,INR,1.67,n/a,n/a
Ballarpur Industries Ltd,BALLARPUR:NSI,"-1,152.40",INR,-3.16,n/a,n/a
Balmer Lawrie and Company Ltd,BALMLAWRIE:NSI,"1,892.30",INR,3.43,n/a,n/a
Banco Products India Ltd,BANCOINDIA:NSI,"1,383.30",INR,4.17,n/a,n/a
Bannari Amman Sugars Ltd,BANARISUG:NSI,"1,218.00",INR,1.89,n/a,n/a
